OH,Ohio,Columbus,$4.564,https://www.gasbuddy.com/usa/oh
PA,Pennsylvania,Allentown,$4.437,https://www.gasbuddy.com/usa/pa
PA,Pennsylvania,Harrisburg,$4.443,https://www.gasbuddy.com/usa/pa
PA,Pennsylvania,Scranton,$4.460,https://www.gasbuddy.com/usa/pa
PA,Pennsylvania,Lancaster,$4.493,https://www.gasbuddy.com/usa/pa
PA,Pennsylvania,York,$4.539,https://www.gasbuddy.com/usa/pa
PA,Pennsylvania,Philadelphia,$4.547,https://www.gasbuddy.com/usa/pa
PA,Pennsylvania,Reading,$4.553,https://www.gasbuddy.com/usa/pa
PA,Pennsylvania,Pittsburgh,$4.709,https://www.gasbuddy.com/usa/pa
PA,Pennsylvania,Erie,$4.711,https://www.gasbuddy.com/usa/pa
MT,Montana,Billings,$4.502,https://www.gasbuddy.com/usa/mt
AZ,Arizona,Tucson,$4.476,https://www.gasbuddy.com/usa/az
AZ,Arizona,Phoenix,$4.703,https://www.gasbuddy.com/usa/az
UT,Utah,Ogden,$4.719,https://www.gasbuddy.com/usa/ut
UT,Utah,Salt Lake City,$4.742,https://www.gasbuddy.com/usa/ut
UT,Utah,Provo,$4.745,https://www.gasbuddy.com/usa/ut
ID,Idaho,Boise,$4.817,https://www.gasbuddy.com/usa/id
IL,Illinois,Champaign,$4.781,https://www.gasbuddy.com/usa/il
IL,Illinois,Rockford,$4.795,https://www.gasbuddy.com/usa/il
IL,Illinois,Peoria,$4.843,https://www.gasbuddy.com/usa/il
IL,Illinois,Chicago,$4.980,https://www.gasbuddy.com/usa/il
MI,Michigan,Detroit,$4.868,https://www.gasbuddy.com/usa/mi
MI,Michigan,Flint,$4.932,https://www.gasbuddy.com/usa/mi
MI,Michigan,Ann Arbor,$4.933,https://www.gasbuddy.com/usa/mi
MI,Michigan,Grand Rapids,$4.962,https://www.gasbuddy.com/usa/mi
MI,Michigan,Kalamazoo,$4.966,https://www.gasbuddy.com/usa/mi
MI,Michigan,Lansing,$4.978,https://www.gasbuddy.com/usa/mi
AK,Alaska,Anchorage,$5.051,https://www.gasbuddy.com/usa/ak
OR,Oregon,Salem,$4.898,https://www.gasbuddy.com/usa/or
OR,Oregon,Eugene,$5.122,https://www.gasbuddy.com/usa/or
OR,Oregon,Portland,$5.138,https://www.gasbuddy.com/usa/or
OR,Oregon,Medford,$5.139,https://www.gasbuddy.com/usa/or
NV,Nevada,Las Vegas,$5.146,https://www.gasbuddy.com/usa/nv
HI,Hawaii,Honolulu,$5.417,https://www.gasbuddy.com/usa/hi
WA,Washington,Yakima,$5.294,https://www.gasbuddy.com/usa/wa
WA,Washington,Spokane,$5.315,https://www.gasbuddy.com/usa/wa
WA,Washington,Tacoma,$5.569,https://www.gasbuddy.com/usa/wa
WA,Washington,Seattle,$5.735,https://www.gasbuddy.com/usa/wa
CA,California,Chico,$5.771,https://www.gasbuddy.com/usa/ca
CA,California,Modesto,$5.888,https://www.gasbuddy.com/usa/ca
CA,California,Stockton,$5.930,https://www.gasbuddy.com/usa/ca
CA,California,Santa Barbara,$5.945,https://www.gasbuddy.com/usa/ca
CA,California,Sacramento,$5.986,https://www.gasbuddy.com/usa/ca
CA,California,Bakersfield,$6.000,https://www.gasbuddy.com/usa/ca
CA,California,San Bernardino,$6.025,https://www.gasbuddy.com/usa/ca
CA,California,Riverside,$6.044,https://www.gasbuddy.com/usa/ca
CA,California,Ventura,$6.044,https://www.gasbuddy.com/usa/ca
CA,California,Fresno,$6.074,https://www.gasbuddy.com/usa/ca
CA,California,Orange County,$6.110,https://www.gasbuddy.com/usa/ca
